نام غذا,واحد پیش‌فرض,کالری در واحد,کربوهیدرات,پروتئین,چربی,فیبر,وزن_گرم,واحد,کالری
دلمه گوجه,عدد,90.0,12.0,3.5,4.0,2.5,140.0,,
دلمه کلم پیچ,عدد,80.0,10.0,3.0,3.5,3.0,130.0,,
دلمه سیب,عدد,95.0,13.0,2.5,4.0,2.5,120.0,,
کوکو سبزی,برش,180.0,12.0,8.0,12.0,4.0,100.0,,
کوکو سیب زمینی,برش,220.0,25.0,7.0,11.0,3.0,110.0,,
کوکو مرغ,برش,250.0,10.0,18.0,15.0,2.0,120.0,,
کوکو گوشت,برش,280.0,12.0,20.0,17.0,2.0,130.0,,
کوکو کدو,برش,160.0,18.0,6.0,9.0,3.0,110.0,,
کوکو بادمجان,برش,200.0,15.0,7.0,14.0,5.0,120.0,,
کوکو هویج,برش,170.0,20.0,5.0,8.0,3.0,110.0,,
میرزا قاسمی,پرس,280.0,25.0,5.0,18.0,6.0,250.0,,
کتلت,عدد,280.0,25.0,12.0,15.0,3.0,120.0,,
کتلت مرغ,عدد,260.0,22.0,15.0,12.0,2.0,120.0,,
کتلت گوشت,عدد,300.0,24.0,18.0,16.0,2.0,130.0,,
کتلت لوبیا سبز,عدد,250.0,28.0,10.0,10.0,5.0,120.0,,
کتلت سیب زمینی,عدد,250.0,30.0,8.0,11.0,3.0,120.0,,
شامی,عدد,220.0,15.0,15.0,12.0,2.0,100.0,,
شامی لرستانی,عدد,250.0,14.0,18.0,14.0,2.0,110.0,,
شامی کردستان,عدد,240.0,15.0,16.0,13.0,2.0,110.0,,
املت گوجه,پرس,320.0,10.0,18.0,24.0,2.0,200.0,,
املت سبزی,پرس,300.0,8.0,16.0,22.0,4.0,200.0,,
املت قارچ,پرس,280.0,9.0,15.0,20.0,3.0,190.0,,
املت سیب زمینی,پرس,350.0,22.0,14.0,22.0,3.0,210.0,,
نیمرو,عدد,180.0,1.0,12.0,14.0,0.0,100.0,,
نیمرو گوجه,عدد,200.0,3.0,13.0,15.0,1.0,120.0,,
نیمرو سبزی,عدد,190.0,2.0,12.0,14.0,2.0,110.0,,
آش رشته,لیوان,250.0,40.0,10.0,6.0,5.0,250.0,,
آش جو,لیوان,220.0,38.0,8.0,5.0,6.0,250.0,,
آش شله قلمکار,لیوان,350.0,45.0,20.0,12.0,4.0,280.0,,
آش دوغ,لیوان,180.0,20.0,8.0,8.0,2.0,250.0,,
آش ماست,لیوان,200.0,25.0,9.0,7.0,3.0,260.0,,
آش انار,لیوان,220.0,35.0,7.0,6.0,4.0,250.0,,
آش بلغور,لیوان,230.0,38.0,8.0,5.0,5.0,250.0,,
آش ترش,لیوان,210.0,32.0,7.0,6.0,4.0,240.0,,
آش برنج,لیوان,240.0,42.0,7.0,5.0,4.0,260.0,,
آش کشک,لیوان,260.0,38.0,12.0,8.0,5.0,270.0,,
سوپ جو,لیوان,150.0,22.0,6.0,4.0,3.0,220.0,,
سوپ مرغ,لیوان,140.0,15.0,10.0,5.0,2.0,220.0,,
سوپ قارچ,لیوان,130.0,18.0,6.0,4.0,3.0,210.0,,
سوپ سبزیجات,لیوان,120.0,20.0,4.0,3.0,4.0,220.0,,
سوپ گوجه,لیوان,110.0,22.0,3.0,2.0,3.0,210.0,,
سوپ عدس,لیوان,160.0,25.0,9.0,3.0,6.0,230.0,,
سوپ جو و قارچ,لیوان,155.0,23.0,7.0,4.0,4.0,225.0,,
کله پاچه,پرس,650.0,5.0,45.0,50.0,0.0,400.0,,
بابا قنبر,پرس,350.0,20.0,8.0,25.0,8.0,250.0,,
نازخاتون,پرس,320.0,22.0,6.0,22.0,7.0,240.0,,
تاس کباب,پرس,420.0,30.0,28.0,20.0,5.0,350.0,,
کوفته تبریزی,عدد,350.0,25.0,18.0,20.0,6.0,200.0,,
کوفته قلقلی,عدد,280.0,20.0,16.0,15.0,4.0,180.0,,
کوفته ریزه,قاشق,250.0,18.0,14.0,14.0,4.0,200.0,,
کوفته برنجی,عدد,300.0,35.0,12.0,12.0,5.0,190.0,,
کوفته آلو,عدد,320.0,22.0,17.0,18.0,5.0,210.0,,
کوفته سیب زمینی,عدد,280.0,30.0,10.0,13.0,4.0,190.0,,
کوفته نخودچی,عدد,310.0,28.0,15.0,15.0,6.0,200.0,,
فسنجان مرغ,پرس,650.0,20.0,30.0,50.0,5.0,300.0,,
فسنجان گوشت,پرس,700.0,18.0,35.0,55.0,5.0,320.0,,
فسنجان کوفته,پرس,620.0,22.0,28.0,48.0,5.0,310.0,,
فسنجان بادمجان,پرس,580.0,25.0,20.0,45.0,8.0,300.0,,
قیمه بادمجان,پرس,450.0,30.0,22.0,22.0,8.0,320.0,,
قیمه خلال بادام,پرس,430.0,28.0,23.0,21.0,6.0,310.0,,
قیمه سیب زمینی,پرس,420.0,32.0,20.0,19.0,5.0,300.0,,
قیمه کرفس,پرس,440.0,28.0,24.0,20.0,7.0,310.0,,
قیمه قارچ,پرس,410.0,30.0,22.0,18.0,6.0,300.0,,
قیمه سبزی,پرس,460.0,26.0,28.0,23.0,8.0,320.0,,
خیار,,,1.0,1.0,1.0,,,واحد,19.0
خیار,,,1.0,2.0,1.0,,,واحد,21.0
خیار,,,0.0,0.0,0.0,,,واحد,0.0
